payitem_number,payitem_desc,unit,quantity,county,district,contract,item,awarded_price,letting_date,id
X0323986,REL EX VIDEO VEH DET,EACH,6.000,KANE,1,61E99,81,1166.1,11/9/2018,
X0323992,HELICAL GROUND ANCHOR,EACH,31.000,LASALLE,3,66F12,20,6000,11/9/2018,
X0324085,EM VEH P S LSC 20 3C,FOOT,341.000,COOK,1,62A36,5,1,11/9/2018,
X0324085,EM VEH P S LSC 20 3C,FOOT,1412.000,DUPAGE,1,61E06,78,1,11/9/2018,
X0324085,EM VEH P S LSC 20 3C,FOOT,904.000,KANE,1,61E67,79,0.7,11/9/2018,
X0324085,EM VEH P S LSC 20 3C,FOOT,191.000,KANE,1,61E75,80,1.1,11/9/2018,
X0324085,EM VEH P S LSC 20 3C,FOOT,683.000,KANE,1,61E99,81,0.62,11/9/2018,
X0324126,GALVANIC ANODE,EACH,3783.000,ST. CLAIR,8,76945,31,37.8,11/9/2018,
X0324159,WHITEWASH CONC PAVT,SQ YD,7434.000,LIVINGSTON,3,66H50,73,1,11/9/2018,
X0324181,DISCON SN LTG/RM WIRE,EACH,2.000,COOK,1,60X93,4,2300,11/9/2018,
X0324534,REM & REIN LT POLES,L SUM,1.000,ADAMS,6,93711,101,4500,11/9/2018,
X0324597,CCTV CABINET,EACH,1.000,COOK,1,60X93,4,8600,11/9/2018,
X0324599,ROD AND CLEAN EX COND,FOOT,532.000,COOK,1,60X79,3,1.8,11/9/2018,
X0324599,ROD AND CLEAN EX COND,FOOT,319.000,COOK,1,60X93,4,0.7,11/9/2018,
X0324599,ROD AND CLEAN EX COND,FOOT,153614.000,DUPAGE,1,61F05,84,0.61,11/9/2018,
X0324599,ROD AND CLEAN EX COND,FOOT,500.000,KANE,1,61E99,81,1.5,11/9/2018,
X0324752,STORM SEWER FILLED,CU YD,7.200,SANGAMON,6,72B37,22,391.77,11/9/2018,
X0324761,DRAINAGE SYSTEM SPL,L SUM,1.000,COOK,1,60X79,3,30000,11/9/2018,
X0324857,AQU WC GLY,GALLON,13.200,LASALLE,3,66J60,49,505,11/9/2018,
X0324858,AQU WC IMAZ,GALLON,39.600,LASALLE,3,66J60,49,671,11/9/2018,
